4	44	3	1
21	53	4	1
26	54	5	1
74	64	7	1
81	66	4	1
97	69	11	1
111	228	22	1
139	581	45	1
147	596	50	1
161	607	49	1
202	635	49	1
207	638	46	1
257	665	54	1
288	685	6	1
395	565	63	1
401	575	31	1
414	907	74	1
455	915	79	1
576	953	78	1
641	1401	116	1
661	1551	120	1
684	1580	127	1
709	1588	125	1
711	1589	127	1
719	1591	46	1
732	1595	31	1
754	1602	46	1
774	1609	127	1
786	1612	46	1
790	1614	127	1
892	2017	142	1
893	2018	57	1
898	2025	122	1
925	2041	145	1
929	2043	145	1
940	2071	151	1
1010	2382	165	1
1079	2481	166	1
1098	2502	166	1
1109	2513	166	1
1122	2528	166	1
1167	2824	175	1
1168	2833	27	1
1180	2879	182	1
1217	3069	198	1
1236	3096	164	1
1237	3097	164	1
1288	3148	164	1
1321	3552	218	1
1351	3878	46	1
1386	3913	46	1
1401	3928	46	1
1480	4199	240	1
1483	4211	160	1
1505	4229	160	1
1532	4252	160	1
1572	4284	160	1
1634	4546	262	1
1642	4666	64	1
1657	4700	122	1
1702	5007	280	1
1724	5229	164	1
1764	5249	294	1
1775	5288	298	1
1783	5296	31	1
1830	5268	42	1
1856	5349	197	1
1880	5494	19	1
1909	5659	19	1
1913	5677	19	1
1922	5732	19	1
1971	5902	311	1
2003	5988	19	1
2006	6016	6	1
2024	6083	315	1
2068	6292	335	1
2104	6309	336	1
2119	6317	335	1
2147	6332	335	1
2167	6342	335	1
2179	6348	335	1
2296	6614	341	1
2306	6617	341	1
2317	6622	6	1
2329	6627	341	1
2336	6630	341	1
2396	6755	358	1
2405	6772	184	1
2447	7688	6	1
2484	7746	49	1
2491	7747	319	1
2498	7748	319	1
2526	7766	160	1
2594	7859	307	1
2600	8034	253	1
2645	8065	410	1
2697	8343	423	1
2702	8343	426	1
2757	8361	428	1
2766	8364	428	1
2767	8365	49	1
2773	8367	428	1
2790	8374	49	1
2824	8388	423	1
2832	8391	423	1
2849	8397	49	1
2850	8397	428	1
2877	8408	49	1
2880	8409	49	1
2883	8410	49	1
2884	8410	428	1
2919	8425	428	1
2970	8446	430	1
2981	8465	438	1
3017	8629	125	1
3045	8805	451	1
3075	8805	460	1
3112	8820	124	1
3113	8820	455	1
3126	8822	423	1
3147	8824	181	1
3182	8829	423	1
3223	8834	423	1
3315	8845	181	1
3321	8846	49	1
3326	8847	124	1
3352	8850	455	1
3377	8853	49	1
3393	8855	49	1
3451	8862	181	1
3464	8864	455	1
3475	8865	181	1
3520	8872	192	1
3537	8874	465	1
3549	8876	455	1
3593	8882	465	1
3610	8885	423	1
3621	8886	465	1
3639	8889	192	1
3651	8890	464	1
3692	8896	464	1
3751	8905	464	1
3755	8906	465	1
3763	8907	181	1
3777	8909	181	1
3784	8910	181	1
3800	8913	423	1
3832	8918	464	1
3841	8920	181	1
3849	8922	192	1
3909	8933	49	1
3962	8944	423	1
3969	8945	49	1
3976	8946	285	1
3977	8947	423	1
3986	8948	285	1
3990	8949	292	1
3996	8950	285	1
4006	8952	285	1
4041	8959	285	1
4053	8962	49	1
4055	8962	94	1
4076	8966	49	1
4091	8968	94	1
4096	8969	31	1
4121	8973	467	1
4123	8973	461	1
4156	8979	31	1
4174	8982	49	1
4189	8984	94	1
4206	8988	468	1
4242	8997	468	1
4287	9005	466	1
4288	9005	31	1
4290	9005	459	1
4350	9108	474	1
4408	9892	139	1
4440	9866	504	1
4444	9867	6	1
4492	10496	515	1
4563	11129	19	1
4579	11140	529	1
4585	11143	19	1
4611	11164	19	1
4617	11166	529	1
4692	11216	19	1
4819	11643	558	1
4838	11713	561	1
4843	11744	563	1
4891	12144	507	1
4898	12149	428	1
4938	12184	428	1
4946	12191	428	1
4964	12207	428	1
5001	12241	428	1
5004	12244	428	1
5030	12268	428	1
5045	12282	428	1
5061	12639	584	1
5063	12647	139	1
5069	12692	586	1
5109	13503	284	1
5157	13974	624	1
5223	14868	27	1
5228	14893	641	1
5251	15331	648	1
5272	15590	601	1
5273	15591	601	1
5288	15711	6	1
5329	16992	221	1
5355	17091	661	1
5411	17099	661	1
5414	17100	341	1
5468	17515	267	1
5484	18389	139	1
5523	18484	160	1
5559	18518	160	1
5583	18541	160	1
5605	18562	160	1
5610	18569	160	1
5772	18718	686	1
5773	18718	164	1
5776	18719	265	1
5804	18728	689	1
5883	18760	265	1
5886	18760	239	1
5939	18779	239	1
5940	18779	689	1
5963	18789	689	1
5965	18788	686	1
5990	18798	686	1
6022	18810	686	1
6057	18824	686	1
6099	18841	689	1
6110	18844	686	1
6173	18869	686	1
6217	18885	239	1
6225	18889	686	1
6240	18895	689	1
6247	18897	164	1
6253	18899	689	1
6260	18902	686	1
6269	18905	686	1
6316	18923	265	1
6388	18949	164	1
6401	18958	690	1
6433	19223	160	1
6465	19235	150	1
6472	19240	699	1
6507	19259	697	1
6522	19267	699	1
6542	19278	150	1
6555	19286	150	1
6587	19305	704	1
6596	19311	702	1
6610	19319	702	1
6620	19326	702	1
6621	19327	703	1
6632	19363	19	1
6641	19367	707	1
6669	19381	707	1
6672	19383	19	1
6680	19387	19	1
6698	19410	401	1
6729	19576	719	1
6753	19585	468	1
6786	19597	213	1
6843	19616	213	1
6881	19632	468	1
6899	19638	252	1
6962	19657	468	1
7011	19672	265	1
7102	19888	727	1
7116	20406	27	1
7133	20481	741	1
7152	20458	742	1
7244	20765	756	1
7266	20770	756	1
7288	20775	2	1
7330	20785	702	1
7350	20790	702	1
7381	20797	2	1
7410	20804	754	1
7459	22145	768	1
7527	23415	364	1
7539	23472	160	1
7572	23624	252	1
7576	23625	252	1
7647	23829	748	1
7661	24405	664	1
7663	24406	664	1
7672	24441	27	1
7690	24534	796	1
7774	25727	160	1
7809	26051	49	1
7816	26270	390	1
7859	26391	829	1
7913	26705	831	1
7928	26777	27	1
7977	27694	425	1
8012	27929	686	1
8016	27940	20	1
8051	30178	855	1
8053	28250	857	1
8073	28326	312	1
8171	29094	866	1
8206	29118	160	1
8207	29119	305	1
8217	30120	200	1
8292	30970	160	1
8306	31001	6	1
8341	24348	46	1
8342	24349	46	1
8352	24359	46	1
8416	28956	909	1
8463	31165	63	1
8479	31173	923	1
8572	32225	160	1
