119607	7	2008
182471	7	2005
186098	7	1994
73875	7	2008
151173	2	NULL
187093	7	2005
178161	2	1983
7047	7	2001
160283	7	2004
48704	7	1963
22285	7	2006
145083	7	NULL
78552	7	1997
79986	7	2011
121979	7	NULL
92335	7	NULL
59976	7	2011
196615	7	2011
106757	7	2008
165934	7	2008
73976	7	2003
32545	7	2011
19093	7	2005
119932	7	2006
128892	7	2000
182463	7	2005
156596	7	2001
126355	7	1969
124954	7	1989
16279	7	1993
86191	7	2008
3126	7	2007
132113	7	2007
82678	7	2010
58713	7	2013
40467	7	2006
18608	7	1961
69827	7	2011
117312	7	2012
183909	7	2009
71945	7	NULL
133526	7	1991
155447	7	1953
182683	7	2007
23040	7	2005
139364	7	2006
12519	7	1990
81870	7	2009
12758	7	2010
193805	7	2008
8841	7	2002
63226	7	1998
128987	7	2001
134740	7	2009
11780	7	2008
178144	7	1978
28997	7	2012
81405	7	1961
89814	7	2003
151090	7	1996
156750	7	2009
93779	7	1975
32688	7	2012
140930	7	1998
58150	7	1998
161592	7	2011
147857	7	1952
71260	7	2012
165544	7	2012
56133	7	2010
175660	7	2004
59430	7	2000
163731	7	2007
184052	7	NULL
114521	7	2009
146579	7	2005
29280	7	2002
34435	7	2002
29363	7	2002
12834	7	2011
56476	7	2011
34948	7	2013
199625	7	1963
155806	7	1998
26985	7	2010
57967	7	1990
123358	7	1963
29633	7	2002
5300	7	2001
67731	7	2012
13476	7	2001
72595	7	2011
152053	7	2002
180544	7	2012
68848	7	2012
101975	7	2012
161649	7	2011
66569	7	2011
137188	7	NULL
162839	7	2007
80237	7	2012
164883	7	1995
23426	7	2004
71015	7	2011
175440	7	2006
5087	7	2009
99994	7	2011
90411	7	2006
110216	7	1969
16344	7	2006
159550	7	2002
178518	7	2004
138143	7	1970
37311	7	2002
165727	7	2006
51835	7	2013
193072	7	2004
166069	7	2006
5945	7	1986
138658	2	2011
171022	7	2011
63627	7	2000
119876	7	1996
195540	7	2003
94162	7	2004
118667	7	NULL
43832	7	2012
14363	7	2011
94291	7	2004
162579	7	1988
19499	7	1983
12066	2	2010
77652	7	1967
178506	7	2004
170650	7	2007
173208	7	NULL
89574	7	2002
144846	7	2004
83214	7	NULL
176829	7	NULL
147886	7	1952
88462	7	1999
97499	7	1986
70830	7	2006
118351	7	NULL
58496	7	2011
132035	7	2011
134731	7	2009
187200	7	2008
131493	2	2005
38008	7	2011
163226	7	1980
105888	7	1987
127460	7	2002
166780	7	2007
96581	7	2012
57085	7	2003
155553	7	1952
18561	7	1959
173405	7	1990
134979	7	2010
53923	7	2005
79810	7	2007
128500	7	2002
114495	7	2006
93573	7	2009
37552	7	2009
144595	7	2009
139303	7	2004
15517	7	2003
86761	7	1993
131870	7	1959
163900	7	1978
138999	7	2001
111834	7	2012
108333	7	2011
41000	2	2008
150526	7	2006
31277	7	1971
95303	7	2005
65191	7	2009
158671	7	1962
112600	7	1979
102609	7	2012
142074	7	2008
20302	7	1998
65096	7	1998
126366	7	1970
39327	7	2009
49211	7	2008
123190	7	2013
156091	7	1996
162000	2	2008
196379	7	2009
171739	7	2011
20862	7	1995
137505	7	NULL
38961	7	1949
122163	7	2001
3438	7	2010
155931	7	2002
28251	7	1980
47804	2	1966
3274	7	2010
69341	7	2004
35225	7	1989
71829	7	2008
123332	7	1963
193671	7	1999
73140	7	1993
167293	7	2012
76385	7	2012
102260	7	2012
146031	7	1993
174755	7	1996
30339	7	1994
154929	7	2011
184479	7	2001
72817	7	2012
192642	7	1996
91297	7	1987
49936	7	2007
113454	7	2011
192672	2	2013
87977	7	1998
50154	7	2000
192722	7	1998
12620	7	2012
28348	7	NULL
15271	7	2010
41218	7	2009
127300	7	2011
25668	7	2011
96625	7	2006
79619	7	NULL
65802	7	2011
169714	7	1985
185454	7	NULL
135892	7	1958
152641	7	2006
3610	7	2006
198696	7	1973
134407	7	2006
174304	7	2008
165038	7	1957
138020	7	2004
148669	7	1967
137954	7	2004
157443	7	2011
12383	7	NULL
198224	7	1998
171616	7	1968
80974	7	2007
153539	7	2008
27109	7	2002
49742	7	2002
80754	7	2008
186008	7	2000
12199	7	1999
137056	7	2007
8814	7	2014
90085	7	2004
96670	7	2011
73183	7	1994
88557	7	1999
194813	7	2006
62524	7	2013
137519	7	NULL
26851	2	2006
52602	7	2002
106718	7	2008
157710	7	2004
18620	7	1962
105391	7	2003
119807	7	2008
41426	2	2008
97109	7	1975
25860	7	1993
100887	7	2002
165474	7	2010
58258	7	1999
75531	2	1947
136238	7	2009
27511	7	2009
10925	7	2007
199524	7	2008
28439	2	2006
68050	7	1989
87382	7	1995
15254	7	2009
59575	7	NULL
163388	7	1999
175051	7	1996
136076	7	1958
13730	7	2012
48344	7	2001
150931	7	2003
91860	7	2008
172350	7	2007
187796	7	1973
78392	7	2004
59678	7	2009
113853	7	1997
111917	7	2012
129150	7	2002
526	7	1994
38819	7	2000
61947	7	2006
16035	7	2010
173259	7	2012
167690	2	2010
134249	7	2007
163740	7	2009
78051	2	2012
68370	7	2012
145383	7	2010
71023	7	2011
158536	7	1968
42411	7	1953
95443	7	2007
181036	7	2011
189311	7	2002
181107	7	1987
22921	7	2005
59557	7	2002
67952	7	2005
58068	7	1995
107058	7	2003
120810	7	2011
62902	7	2008
36066	7	2013
45161	7	2012
131808	7	2001
