166517	7	1994
22269	7	2006
183575	7	2004
588	7	2007
139113	7	2013
2279	2	1996
9331	2	2005
37227	7	2007
127554	7	NULL
13545	7	2008
71466	7	2003
188824	2	1981
100813	7	2002
38102	7	2007
2860	2	2000
141947	7	2009
130929	7	2012
69804	7	2008
79261	7	2010
140874	7	1999
142348	2	2010
49903	7	2006
138296	7	2013
67869	7	1998
160037	7	1969
188564	7	NULL
25953	7	2010
142248	7	1950
104086	7	2008
30098	7	2002
169834	7	1985
156086	7	1994
191950	7	1993
190042	7	1992
50387	7	2001
196575	7	2012
175329	7	2010
129138	7	2002
94888	7	2002
106820	7	2004
176738	7	1970
184397	7	2003
151460	7	2006
103898	7	2007
33024	7	2013
162589	7	1988
42896	7	2011
34604	7	2012
22596	7	2012
51512	7	2005
24490	7	2010
17652	7	1997
195684	7	1999
134377	7	2009
138588	7	2006
12928	7	2010
14284	7	2010
185902	7	2005
86739	7	1991
98181	7	2000
187299	7	2008
19937	2	2012
135541	7	1962
32109	7	2011
158323	7	1998
27934	7	2007
101453	7	2007
66385	7	2008
136469	7	2004
47709	7	2005
174921	7	2002
159879	7	1987
861	7	1971
272891	7	1996
236483	7	1997
224764	7	2010
204573	7	NULL
256468	7	2005
231855	7	1991
200743	7	1999
294990	7	2005
203631	7	2008
254707	2	1989
268886	7	2005
270109	7	1975
207001	7	2008
266135	7	2001
249232	7	2009
262932	7	1988
237384	7	2010
299536	7	2010
273132	7	1997
213972	7	1949
247496	7	2005
250822	7	2006
244725	7	2000
229750	7	1977
281775	7	1984
200978	7	1999
211314	7	2009
288459	7	2011
212140	7	2003
260664	7	2011
263491	2	2001
243840	7	2011
212243	7	2003
257604	7	NULL
285484	7	1975
258907	7	2005
230471	7	1998
298587	7	NULL
220707	7	2008
224379	7	2012
260638	7	2012
380808	7	1955
356101	7	2001
361007	7	2011
324949	7	2010
312065	7	2006
319643	7	2012
398802	7	1996
362257	7	2007
350634	7	1969
323941	7	2005
362981	7	1971
304390	7	1982
317020	7	1979
373735	7	2003
352689	7	2000
399110	7	1998
386772	7	2010
345413	7	2007
326527	7	2012
307656	7	1998
338170	7	2004
373835	7	2008
309939	7	1971
342886	7	2008
395211	7	2011
372480	7	2012
335073	7	1979
305066	7	1962
301211	7	2001
364650	7	1968
326785	7	1973
326999	7	2009
380533	7	1986
313298	7	2007
390981	7	2006
347832	7	1970
